title,link,media_type,post_date,parenthetical
Chokepoint Capitalism,http://hujhax.livejournal.com/1145184.html#chokepoint,book,2023-02-20T04:30:00Z,
Slow Horses,http://hujhax.livejournal.com/1145184.html#slow,TV,2023-02-20T04:30:00Z,sesaon 1
Marple: Twelve New Mysteries,http://hujhax.livejournal.com/1144414.html#marple,book,2023-02-12T17:01:00Z,
Community,http://hujhax.livejournal.com/1144414.html#community,TV,2023-02-12T17:01:00Z,season 6
Severance,http://hujhax.livejournal.com/1144414.html#severance,TV,2023-02-12T17:01:00Z,season 1
War and Peace,http://hujhax.livejournal.com/1143373.html#war,book,2023-01-29T19:08:00Z,
Great Piano Works Explained,http://hujhax.livejournal.com/1143373.html#piano,course,2023-01-29T19:08:00Z,
Jumanji: The Next Level,http://hujhax.livejournal.com/1142823.html#jumanji,movie,2023-01-23T04:34:00Z,
Ted Lasso,http://hujhax.livejournal.com/1142823.html#lasso,TV,2023-01-23T04:34:00Z,season 1
1-2-3 Bossa Nova Guitar,http://hujhax.livejournal.com/1142823.html#bossa,course,2023-01-23T04:34:00Z,
How to Write a Novel Using the Snowflake Method,http://hujhax.livejournal.com/1142425.html#novel,book,2023-01-15T19:14:00Z,
Glass Onion,http://hujhax.livejournal.com/1142425.html#onion,movie,2023-01-15T19:14:00Z,
Tokyo Godfathers,http://hujhax.livejournal.com/1142425.html#tokyo,movie,2023-01-15T19:14:00Z,
Andor,http://hujhax.livejournal.com/1142425.html#andor,TV,2023-01-15T19:14:00Z,season one
The Dragon Prince,http://hujhax.livejournal.com/1140861.html#dragon,TV,2023-01-02T00:48:00Z,season 4
Jenny LeClue: Detectivú,http://hujhax.livejournal.com/1140309.html#leclue,video game,2022-12-26T02:52:00Z,
You Look Like a Thing and I Love You,http://hujhax.livejournal.com/1139754.html#thing,book,2022-12-19T01:46:00Z,
Inscryption,http://hujhax.livejournal.com/1139754.html#inscryption,video game,2022-12-19T01:46:00Z,spoilers
Barry,http://hujhax.livejournal.com/1139104.html#barry,TV,2022-12-04T23:36:00Z,season 2
The Guardians of the Galaxy Holiday Special,http://hujhax.livejournal.com/1139104.html#guardians,TV,2022-12-04T23:36:00Z,
Play Bass Guitar 3: Essential Skills,http://hujhax.livejournal.com/1139104.html#bass,course,2022-12-04T23:36:00Z,
Understanding Economics: Game Theory,http://hujhax.livejournal.com/1139104.html#game,course,2022-12-04T23:36:00Z,
